Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Seddon,2,h,S,Jas,6.6,3011,2,1,1,170,112.6,1973.8,Maribyrnong City Council,-37.8082,144.8928,Western Metropolitan,2417,Underground,887000,2016,7
Werribee,3,h,VB,Barry,14.7,3030,3,1,2,600,138,1960,Wyndham City Council,-37.90691,144.64409,Western Metropolitan,16166,Outdoor Stall,495000,2018,2
St Albans,2,h,S,Barry,14,3021,2,1,2,476,122.2,1965.4,Brimbank City Council,-37.7411,144.79621,Western Metropolitan,14042,Parking Pad,642000,2017,9
Frankston,4,h,S,O'Brien,7.32,3199,4,2,2,819,161,1970,Frankston City Council,-38.13936,145.16227,South-Eastern Metropolitan,17055,Carport,823000,2018,2
Mount Waverley,3,h,S,Barry,14.2,3149,3,1,1.8,567.2,131.8,1971.8,Monash City Council,-37.85686,145.11906,Eastern Metropolitan,13366,Indoor,1430000,2017,10
Oak Park,2,h,S,Brad,11.2,3046,2,1,1,742,139.8,1948,Moreland City Council,-37.72123,144.92614,Northern Metropolitan,2651,Carport,1000000,2017,9
Mount Waverley,3,h,S,Buxton,14.2,3149,3,1,2,676,132,1965,Monash City Council,-37.87148,145.12866,Eastern Metropolitan,13366,Outdoor Stall,1470000,2017,7
Keilor East,3,h,S,Nelson,12.8,3033,3,1,1,657,141.4,1965,Brimbank City Council,-37.7411,144.8638,Western Metropolitan,5629,Underground,725000,2016,4
Yarraville,4,h,SP,Jas,7,3013,4,2,2,244,206,2011,Maribyrnong City Council,-37.8139,144.8741,Western Metropolitan,6543,Attached Garage,1235000,2017,4
Werribee,3,h,S,YPA,14.7,3030,2.8,1.6,1.2,350,100.8,1986,Wyndham City Council,-37.743676,144.910098,Western Metropolitan,16166,Underground,478000,2017,11
South Yarra,2,u,S,hockingstuart,2.7,3141,2,1,1,315.8,158,1939.8,Melbourne City Council,-37.83449,144.98386,Southern Metropolitan,14887,Indoor,1220000,2017,8
Essendon,1,u,S,Considine,7.5,3040,1,1,1,0,47,1952.6,Moonee Valley City Council,-37.75515,144.92114,Western Metropolitan,9264,Indoor,310000,2017,1
Bentleigh East,3,u,S,Woodards,13.9,3165,3,2,2,395,130.2,2001,Glen Eira City Council,-37.9364,145.0649,Southern Metropolitan,10969,Detached Garage,830000,2016,8
Essendon,3,t,VB,Brad,8,3040,3,2,1,291,224,2013,Moonee Valley City Council,-37.7499,144.8927,Western Metropolitan,9264,Detached Garage,1000000,2016,5
Mordialloc,3,t,S,hockingstuart,21.5,3195,3,2,2,537,141.8,1987,Kingston City Council,-37.99972,145.0901,South-Eastern Metropolitan,3650,Carport,755000,2017,8
Footscray,2,t,SP,Jas,5.1,3011,2,2,1,475.8,95,2017,Maribyrnong City Council,-37.7973,144.8913,Western Metropolitan,7570,Underground,685000,2017,11
Williamstown North,3,h,SP,Greg,6.8,3016,3,1,1,353,85.35,1940,Hobsons Bay City Council,-37.85432,144.88214,Western Metropolitan,802,Attached Garage,862000,2017,5
Williamstown,3,h,S,Williams,8,3016,3,1,0,249,85,1910,Hobsons Bay City Council,-37.86,144.895,Western Metropolitan,6380,Attached Garage,1210000,2017,2
Ivanhoe,2,h,S,Nelson,7.9,3079,2,1,2,760,211.2,1951.8,Banyule City Council,-37.7784,145.0394,Eastern Metropolitan,5549,Parkade,1910000,2017,3
Melbourne,1,u,VB,Buxton,2.8,3000,1.6,1,1,148.2,57.2,1968.2,Melbourne City Council,-37.841354,144.925654,Northern Metropolitan,17496,Carport,370000,2016,4
Chadstone,2,u,S,Buxton,13.6,3148,3.2,1.2,1.8,404.6,121.6,1972.6,Monash City Council,-37.78717,144.958294,Southern Metropolitan,3582,Detached Garage,627000,2016,4
Altona,4,h,S,Barlow,11,3018,3.8,1.6,1.4,670.6,223.6,1936.6,Hobsons Bay City Council,-37.810202,145.07146,Western Metropolitan,5301,Attached Garage,1650000,2017,11
Strathmore,3,h,S,Considine,8.2,3041,3,1,3,492,134,1969.2,Moonee Valley City Council,-37.73084,144.92238,Western Metropolitan,3284,Indoor,810000,2017,9
Spotswood,4,h,VB,Jas,7.7,3015,4,2,2,489,127.4,1946.8,Hobsons Bay City Council,-37.8279,144.874,Western Metropolitan,1223,Carport,1170000,2016,10
Hawthorn East,3,h,VB,Fletchers,7.5,3123,3,1,1,211,120,1990,Boroondara City Council,-37.8204,145.0489,Southern Metropolitan,6482,Indoor,975000,2016,7
Avondale Heights,4,h,VB,Brad,9.5,3034,4,3,2,803,194.4,1959.4,Moonee Valley City Council,-37.75262,144.87282,Western Metropolitan,4502,Attached Garage,1600000,2018,3
Mentone,2,h,SP,Purplebricks,20,3194,3.4,1.6,2,265.4,118.374,1975.2,Kingston City Council,-37.75238,144.91852,South-Eastern Metropolitan,6162,Detached Garage,680000,2018,6
Bentleigh,2,t,PI,Bayside,13,3204,2,1,1,83,107,1998,Glen Eira City Council,-37.9259,145.0341,Southern Metropolitan,6795,Carport,680000,2016,11
Epping,3,h,S,HAR,19.6,3076,3,2,1,210,73.6,1981.4,Whittlesea City Council,-37.63463,145.03863,Northern Metropolitan,10926,Carport,441000,2017,12
Ascot Vale,3,h,SP,Nelson,5.9,3032,3,2,2,277,174,1910,Moonee Valley City Council,-37.7777,144.9221,Western Metropolitan,6567,Attached Garage,1380000,2017,4
Jacana,3,h,S,YPA,14.5,3047,3,1,1.6,491,104.6,1984.4,Hume City Council,-37.753838,144.85934,Northern Metropolitan,851,Attached Garage,515000,2017,5
Reservoir,2,u,S,Barry,11.2,3073,2,1,1,140,83.6,2011,Darebin City Council,-37.7285,145.0242,Northern Metropolitan,21650,Detached Garage,436000,2016,10
Brunswick West,3,h,S,Barry,5.2,3055,3,1,2,423,136.8,1949,Moreland City Council,-37.77112,144.94732,Northern Metropolitan,7082,Detached Garage,1255000,2018,6
Kealba,4,h,SP,Nelson,14,3021,4,2,2,617,87.8,1980,Brimbank City Council,-37.7364,144.82556,Western Metropolitan,1202,Detached Garage,590000,2017,7
Springvale,3,h,S,iSell,20.8,3171,3,2,2,750,124,1970,Greater Dandenong City Council,-37.95512,145.14612,South-Eastern Metropolitan,7412,Carport,930000,2017,10
Avondale Heights,4,h,S,Moonee,9.5,3034,4,1,1,504,138,1992.2,Moonee Valley City Council,-37.77244,144.85696,Western Metropolitan,4502,Detached Garage,820000,2018,2
Carnegie,3,h,PI,hockingstuart,11.4,3163,3,2,2,515,156,1930,Glen Eira City Council,-37.8924,145.0541,Southern Metropolitan,7822,Parkade,1200000,2017,5
Footscray,2,h,PI,Burnham,6.4,3011,2,1,2,657,92,1940,Maribyrnong City Council,-37.7909,144.8884,Western Metropolitan,7570,Detached Garage,950000,2017,11
Glen Iris,3,u,VB,Marshall,7.3,3146,3.8,2,1.8,576.8,138.8,1976.2,Boroondara City Council,-37.689896,145.063086,Southern Metropolitan,10412,Detached Garage,800000,2017,10
Maribyrnong,4,h,S,Rendina,8.7,3032,2.6,1.2,1,162.2,124.8,1948,Maribyrnong City Council,-37.80726,145.03844,Western Metropolitan,4918,Parkade,1015000,2016,6
Heidelberg Heights,3,h,S,Miles,10.5,3081,3,1,2,582,90,1955,Banyule City Council,-37.7422,145.05,Eastern Metropolitan,2947,Parkade,650000,2016,4
Glenroy,3,t,SP,Brad,11.2,3046,3.2,1,1.8,537.2,130,1971.4,Moreland City Council,-37.70162,144.91798,Northern Metropolitan,8870,Attached Garage,600000,2017,11
Endeavour Hills,3,h,S,Hall,13.6,3802,3,2,2,652,118.4,1986.8,Casey City Council,-37.98029,145.26277,South-Eastern Metropolitan,8443,Attached Garage,634000,2017,9
Deer Park,2,h,S,Stockdale,14.8,3023,2.6,1.4,1.2,226.4,103.18,1991,Brimbank City Council,-37.800486,144.9639,Western Metropolitan,6388,Underground,592000,2017,6
Kew,2,u,PI,Noel,5.4,3101,3.2,1.6,1.4,412.6,150.2,1987.8,Boroondara City Council,-37.683094,145.032346,Southern Metropolitan,10331,Underground,685000,2017,9
Northcote,1,u,S,Harcourts,5.3,3070,1.8,1,0.8,60.2,78.2,1983,Darebin City Council,-37.760022,144.99501,Northern Metropolitan,11364,Outdoor Stall,410000,2017,11
Wheelers Hill,4,h,S,Barry,16.7,3150,4,2,2,325,127,1981.2,Monash City Council,-37.9077,145.1725,South-Eastern Metropolitan,7392,Attached Garage,1014000,2017,11
Bentleigh East,4,t,SP,hockingstuart/Buxton,13.9,3165,2.8,1.2,1.4,495.6,140.6,1953,Glen Eira City Council,-37.800406,145.040594,Southern Metropolitan,10969,Attached Garage,1235000,2017,11
Mooroolbark,3,h,S,Fletchers,19.42,3138,3,1,3,917,128.4,1966.2,Yarra Ranges Shire Council,-37.7983,145.3296,Eastern Victoria,8280,Underground,760000,2017,11
Thornbury,2,h,S,McGrath,7,3071,2,1,1,312.2,114.8,1984.6,Darebin City Council,-37.75618,145.02155,Northern Metropolitan,8870,Indoor,800000,2017,9
St Kilda,4,h,S,Jellis,6.1,3182,2.6,1.2,1.6,519.2,139.8,1938.4,Port Phillip City Council,-37.8646,144.9866,Southern Metropolitan,13240,Parking Pad,1170000,2016,9
Balaclava,1,u,S,hockingstuart,6.4,3183,1,1,1,0,76,1975.6,Port Phillip City Council,-37.86874,144.998,Southern Metropolitan,2952,Attached Garage,328500,2017,8
Brighton,3,h,S,Nick,10.5,3186,3,2,2,593.2,222,2013,Bayside City Council,-37.90217,144.99337,Southern Metropolitan,10579,Detached Garage,2020000,2017,8
North Melbourne,2,t,S,Jellis,2.3,3051,2,1,1,215,113.6,2000,Melbourne City Council,-37.7953,144.9437,Northern Metropolitan,6821,Attached Garage,841000,2017,4
Carnegie,2,u,PI,Barry,10.1,3163,2,1,1,67.2,72.4,2006,Glen Eira City Council,-37.88625,145.05666,Southern Metropolitan,7822,Carport,490000,2017,9
Hawthorn East,2,u,S,Fletchers,6.2,3123,2.8,1.4,1.4,296.8,105.6,1991.4,Boroondara City Council,-37.761942,144.868924,Southern Metropolitan,6482,Detached Garage,515000,2017,10
Yarraville,1,u,SP,hockingstuart,7,3013,1,1,2,0,83,2004,Maribyrnong City Council,-37.8173,144.894,Western Metropolitan,6543,Carport,510000,2017,11
Glen Huntly,2,t,VB,Woodards,10.1,3163,2.8,1,1.6,507.8,95.4,1968.8,Glen Eira City Council,-37.747812,145.034636,Southern Metropolitan,2403,Parkade,740000,2018,10
Coburg,3,h,S,Woodards,7.8,3058,3,2,1,107,110,1994,Darebin City Council,-37.7517,144.963,Northern Metropolitan,11204,Carport,763000,2016,5
Black Rock,2,u,S,Hodges,17.3,3193,2,1,1,0,74,1960,Bayside City Council,-37.97853,145.0175,Southern Metropolitan,2866,Underground,600000,2017,7
Doncaster,4,h,S,Barry,13.9,3108,4,3,2,507,233.4,1948.4,Manningham City Council,-37.7738,145.1308,Eastern Metropolitan,9028,Attached Garage,2000000,2016,10
Coburg,4,h,S,Nelson,7.8,3058,4,2,2,480,121.6,1950,Darebin City Council,-37.7402,144.9607,Northern Metropolitan,11204,Parkade,1145000,2016,12
St Kilda,2,u,SP,LITTLE,5,3182,2,1,1,0,72.8,1994.8,Port Phillip City Council,-37.85709,144.9873,Southern Metropolitan,13240,Attached Garage,460000,2017,1
Maribyrnong,2,u,VB,Woodards,4.3,3032,2,1,2,0,93,2003,Maribyrnong City Council,-37.77117,144.88041,Western Metropolitan,4918,Indoor,440000,2017,7
Brunswick West,2,u,SP,Jellis,5.9,3055,2,1,1,0,62,1970,Moreland City Council,-37.7688,144.9421,Northern Metropolitan,7082,Indoor,385000,2017,3
Brighton East,4,h,S,Hodges,10.3,3187,4,3,2,221,145.6,1975.4,Bayside City Council,-37.90381,145.01822,Southern Metropolitan,6938,Carport,1300000,2017,8
Seddon,3,h,S,Burnham,6.6,3011,3,1,1,350,116,1890,Maribyrnong City Council,-37.8094,144.8869,Western Metropolitan,2417,Indoor,1145000,2016,3
Niddrie,3,u,S,Barry,11.2,3042,3,2,2,203,148.4,1938,Moonee Valley City Council,-37.7465,144.8867,Western Metropolitan,2291,Outdoor Stall,815000,2016,7
Vermont,4,h,S,Noel,17.2,3133,4,1,2,620,131.4,1954.6,Maroondah City Council,-37.83347,145.191,Eastern Metropolitan,4181,Underground,1010000,2018,3
Essendon West,3,h,S,Gunn&Co,9.8,3040,3,1,2,147,147,1964,Moonee Valley City Council,-37.7523,144.8862,Western Metropolitan,588,Parkade,1305000,2017,5
Doncaster,4,t,SP,Jellis,13.9,3108,2.8,1.4,1.2,438,173.8,1964.4,Manningham City Council,-37.84102,145.021234,Eastern Metropolitan,9028,Indoor,1231000,2017,4
Brighton East,4,h,VB,Marshall,10.3,3187,4,3,3,602,242.4,1949.6,Bayside City Council,-37.91678,145.01675,Southern Metropolitan,6938,Detached Garage,2000000,2018,3
Sunshine,3,h,S,GL,12.6,3020,3,1,1,700,145,1960,Brimbank City Council,-37.7933,144.8411,Western Metropolitan,3755,Carport,950000,2016,3
Kew,2,u,S,Marshall,5.6,3101,2,1,1,375,123.6,1972.4,Boroondara City Council,-37.8094,145.0446,Southern Metropolitan,10331,Attached Garage,730000,2016,11
Mill Park,5,h,S,Barry,17.9,3082,5,2,1,652,210,1985,Whittlesea City Council,-37.67339,145.06935,Northern Metropolitan,10529,Detached Garage,800000,2017,10
Moonee Ponds,3,h,SP,McDonald,6.9,3039,3,2,2,315,105.908,1989,Moonee Valley City Council,-37.769,144.9057,Western Metropolitan,6232,Carport,880000,2016,8
Kew,3,t,PI,Jellis,5.6,3101,3.4,1.8,1.6,398.8,129,1981.4,Boroondara City Council,-37.791738,145.042174,Southern Metropolitan,10331,Attached Garage,870000,2017,5
Richmond,3,h,S,Jellis,2.6,3121,2.6,1.2,1.6,348,125.4,1914,Yarra City Council,-37.81387,145.037722,Northern Metropolitan,14949,Attached Garage,1270000,2016,9
Melbourne,2,u,PI,Gary,2.8,3000,2.2,1,1.2,287.2,96.8,2004.4,Melbourne City Council,-37.961126,144.949144,Northern Metropolitan,17496,Parkade,426000,2016,9
Templestowe Lower,4,h,S,Philip,13.8,3107,4,2,2,705,195,1970,Manningham City Council,-37.7595,145.1176,Eastern Metropolitan,5420,Attached Garage,1118000,2016,6
Wantirna,2,h,SP,Harcourts,14.7,3152,2,1,0,597,169.4,1961,Knox City Council,-37.839,145.22143,Eastern Metropolitan,5424,Parkade,1280000,2017,3
Research,3,h,S,Jellis,18,3095,3,1,1,432.6,138,1970,Nillumbik Shire Council,-37.70222,145.18077,Eastern Metropolitan,938,Outdoor Stall,720000,2017,10
Toorak,3,u,S,hockingstuart,4.1,3142,3,1,1,90.8,113.2,1985.2,Stonnington City Council,-37.8474,145.01247,Southern Metropolitan,7217,Outdoor Stall,735000,2017,3
Murrumbeena,2,u,S,hockingstuart,12.1,3163,2,1,2,308,144.6,2008,Glen Eira City Council,-37.8907,145.0761,Southern Metropolitan,4442,Carport,926000,2017,4
Prahran,2,h,S,Marshall,4.5,3181,3,1.6,1.6,420.6,162.6,1975.4,Stonnington City Council,-37.831324,145.026794,Southern Metropolitan,7717,Underground,1388000,2017,4
South Melbourne,4,h,S,Marshall,2.1,3205,4,3,2,577,220,2009,Port Phillip City Council,-37.8357,144.9502,Southern Metropolitan,5943,Attached Garage,1615000,2016,5
West Footscray,2,h,S,Jas,8.2,3012,2,1,1,308,138.6,1976,Maribyrnong City Council,-37.7908,144.8717,Western Metropolitan,5058,Carport,705000,2016,5
Maribyrnong,2,u,S,Alexkarbon,8.7,3032,2,1,1,0,68,1970,Maribyrnong City Council,-37.7678,144.8899,Western Metropolitan,4918,Detached Garage,420000,2017,2
Surrey Hills,4,h,S,Jellis,11.2,3127,4,2,1,383,256.4,1880,Boroondara City Council,-37.8234,145.0923,Southern Metropolitan,5457,Indoor,2003000,2016,10
Sunshine West,3,h,S,Barry,13.5,3020,3,1,2,697,131.8,1970,Brimbank City Council,-37.7897,144.7964,Western Metropolitan,6763,Detached Garage,668000,2016,12
Oak Park,3,u,S,Jason,11.5,3046,3,1,1,0,95.8,1986.6,Moreland City Council,-37.7233,144.9168,Northern Metropolitan,2651,Underground,358500,2016,10
Ashwood,3,t,PI,Fletchers,12.2,3147,2.6,1.4,1,476.4,154,1945.2,Monash City Council,-37.769972,145.029274,Southern Metropolitan,2894,Indoor,880000,2016,4
Newport,4,h,VB,Williams,6.2,3015,4,2,2,470,172,1950,Hobsons Bay City Council,-37.84525,144.87405,Western Metropolitan,5498,Attached Garage,1420000,2018,3
Rosanna,3,t,VB,Purplebricks,11.4,3084,3.2,1.6,2.2,691.4,141.8,1969.8,Banyule City Council,-37.79141,145.055956,Eastern Metropolitan,3540,Attached Garage,800000,2017,4
Maribyrnong,3,h,PI,Biggin,8.7,3032,2.8,1.6,1.2,343.6,152.4,1950,Maribyrnong City Council,-37.82661,145.0116,Western Metropolitan,4918,Parking Pad,1110000,2017,6
St Kilda,2,u,S,Pride,5,3182,3,1.6,1.6,199,172.6,1982,Port Phillip City Council,-37.80818,145.03814,Southern Metropolitan,13240,Attached Garage,742250,2018,10
Rosanna,3,h,VB,Miles,11.4,3084,3.2,1.4,2,602.2,112.6,1967.6,Banyule City Council,-37.737628,144.9248,Eastern Metropolitan,3540,Attached Garage,830000,2016,4
Lalor,3,h,S,Barry,16.3,3075,3,2,1,655,120,1975,Whittlesea City Council,-37.67414,145.0205,Northern Metropolitan,8279,Indoor,710500,2017,8
Ferntree Gully,2,u,S,Stockdale,24.8,3156,2.6,1,1.4,293,118.4,1992.4,Knox City Council,-37.72844,145.052384,Eastern Metropolitan,10788,Attached Garage,530000,2017,10
Coburg North,4,h,S,Brad,9.2,3058,4,1,1,545,137.4,1960,Darebin City Council,-37.7304,144.9605,Northern Metropolitan,3445,Attached Garage,770000,2017,5
Toorak,2,t,PI,Abercromby's,4.6,3142,2,2,3,457,238.8,1997.4,Stonnington City Council,-37.8464,145.0142,Southern Metropolitan,7217,Attached Garage,2100000,2017,2
West Footscray,2,h,S,Village,8.2,3012,2,1,1,444,98,1940,Maribyrnong City Council,-37.7933,144.876,Western Metropolitan,5058,Parkade,912500,2016,3
Craigieburn,4,h,S,Barry,20.6,3064,4,2,2,400,144,2011,Hume City Council,-37.5812,144.9126,Northern Metropolitan,15510,Indoor,583000,2017,11
